seed,arm,homeownership_rate,rental_vacancy_rate,mean_ltv_owner_occupier,mean_lti_owner_occupier,annual_appreciation_g
20,policy,0.24786324786324787,0.035196687370600416,0.7765510783449794,2.7248761626076923,0.003143690556571155
21,policy,0.2955145118733509,0.0851581508515815,0.7882317472417417,2.5787440696567483,-0.000868702398670762
22,policy,0.30670103092783507,0.043373493975903614,0.779918122170552,2.5822863408598766,0.036275292273440396
23,policy,0.2819843342036554,0.09046454767726161,0.7838936144331192,2.581207074261677,0.0891941344500986
24,policy,0.25279642058165547,0.024774774774774775,0.7612352972345641,2.521683573313344,0.01285201070959796
25,policy,0.2796208530805687,0.02843601895734597,0.7916970226564445,2.5169660171431594,0.012775344304224445
26,policy,0.2782608695652174,0.042283298097251586,0.7888438764725527,2.5335745578242688,-0.03
27,policy,0.2612137203166227,0.02925531914893617,0.7881299399115125,2.500823170910377,-0.021278102455288272
28,policy,0.2908704883227176,0.0,0.7805549998489297,2.5293697901247962,-0.014647339090356648
29,policy,0.28780487804878047,0.0,0.7754056105805404,2.591059930482784,0.031089585562926958
30,policy,0.2823529411764706,0.01598173515981735,0.7850366474567585,2.5649482330738027,0.0015828597504488062
31,policy,0.3037037037037037,0.08333333333333333,0.7829584605403671,2.7099720452734064,0.025195256730586868
32,policy,0.3131578947368421,0.08088235294117647,0.7902771842943238,2.825734959219921,0.0012013993355299846
33,policy,0.3044496487119438,0.002403846153846154,0.7809023796279022,2.4849756551366355,0.015388530677697743
34,policy,0.3072463768115942,0.10052910052910052,0.8090832716634567,2.7783023054456297,-0.006230211196620372
35,policy,0.24867724867724866,0.02666666666666667,0.7696398246065137,2.9449394361529686,0.024300053386840492
36,policy,0.23980815347721823,0.04357798165137615,0.7669700518557069,2.5449951725143554,0.011452619629465977
37,policy,0.29318181818181815,0.022727272727272728,0.7754336448181881,2.530964165414498,0.061222692844519866
38,policy,0.2970027247956403,0.085,0.7926498156203151,2.6102291673219384,-0.03
39,policy,0.285,0.005115089514066497,0.7930852712668364,2.6936680736324132,-0.03
