NAME,total_units,sfr_detached,sfr_attached,two_unit,small_multifamily,mf_5_9,mf_10_19,mf_20_49,mf_50plus,state,county,tract,owner_occupied,renter_occupied,owner_share,total_households,income_under_10k,income_30_35k,income_40_45k,income_75_100k,income_100_125k,income_200k_plus,total_vacant,vacant_for_rent,vacant_for_sale,GEOID
"Census Tract 101.19, Fulton County, Georgia",2597.0,141.0,488.0,141.0,66.0,711.0,770.0,89.0,138.0,13,121,10119,623.0,1785.0,0.2587209302325581,2408.0,98.0,32.0,168.0,318.0,90.0,116.0,189.0,189.0,0.0,10253
"Census Tract 101.20, Fulton County, Georgia",1250.0,62.0,307.0,85.0,95.0,299.0,280.0,122.0,0.0,13,121,10120,388.0,734.0,0.3458110516934046,1122.0,51.0,38.0,112.0,250.0,113.0,33.0,128.0,68.0,0.0,10254
"Census Tract 101.21, Fulton County, Georgia",1310.0,446.0,112.0,6.0,0.0,40.0,94.0,75.0,537.0,13,121,10121,812.0,371.0,0.6863905325443787,1183.0,47.0,49.0,63.0,179.0,84.0,219.0,127.0,51.0,22.0,10255
"Census Tract 66.01, Fulton County, Georgia",999.0,921.0,14.0,0.0,27.0,20.0,0.0,5.0,12.0,13,121,6601,415.0,284.0,0.5937052932761088,699.0,48.0,18.0,32.0,119.0,46.0,8.0,300.0,65.0,55.0,6735
"Census Tract 70.01, Fulton County, Georgia",1893.0,1418.0,5.0,77.0,35.0,219.0,104.0,10.0,25.0,13,121,7001,556.0,883.0,0.3863794301598332,1439.0,287.0,60.0,124.0,119.0,6.0,14.0,454.0,56.0,8.0,7135
"Census Tract 11, Fulton County, Georgia",4607.0,147.0,30.0,0.0,9.0,59.0,316.0,380.0,3642.0,13,121,1100,1569.0,1863.0,0.4571678321678322,3432.0,155.0,43.0,66.0,509.0,502.0,756.0,1175.0,172.0,56.0,1234
"Census Tract 14, Fulton County, Georgia",1525.0,275.0,104.0,30.0,140.0,127.0,386.0,210.0,253.0,13,121,1400,565.0,843.0,0.4012784090909091,1408.0,30.0,15.0,31.0,260.0,120.0,180.0,117.0,58.0,0.0,1534
"Census Tract 18, Fulton County, Georgia",3301.0,124.0,261.0,0.0,201.0,241.0,411.0,249.0,1773.0,13,121,1800,1085.0,1992.0,0.3526161845953851,3077.0,680.0,121.0,46.0,387.0,287.0,114.0,224.0,84.0,54.0,1934
"Census Tract 32, Fulton County, Georgia",1509.0,569.0,48.0,89.0,109.0,30.0,92.0,99.0,473.0,13,121,3200,866.0,411.0,0.6781519185591229,1277.0,8.0,8.0,35.0,238.0,232.0,205.0,232.0,38.0,7.0,3334
"Census Tract 36, Fulton County, Georgia",977.0,11.0,22.0,15.0,30.0,63.0,177.0,80.0,579.0,13,121,3600,285.0,573.0,0.3321678321678322,858.0,98.0,57.0,14.0,104.0,44.0,24.0,119.0,41.0,0.0,3734
