NAME,total_vacant,vacant_for_rent,vacant_for_sale,state,county,tract
"Census Tract 234.18, DeKalb County, Georgia",676.0,0.0,118.0,13,089,023418
"Census Tract 233.03, DeKalb County, Georgia",299.0,128.0,0.0,13,089,023303
"Census Tract 215.02, DeKalb County, Georgia",182.0,111.0,0.0,13,089,021502
"Census Tract 225, DeKalb County, Georgia",197.0,51.0,9.0,13,089,022500
"Census Tract 216.03, DeKalb County, Georgia",278.0,45.0,46.0,13,089,021603
"Census Tract 218.06, DeKalb County, Georgia",148.0,48.0,0.0,13,089,021806
"Census Tract 223.02, DeKalb County, Georgia",0.0,0.0,0.0,13,089,022302
"Census Tract 224.02, DeKalb County, Georgia",153.0,73.0,0.0,13,089,022402
"Census Tract 228, DeKalb County, Georgia",45.0,0.0,45.0,13,089,022800
"Census Tract 232.09, DeKalb County, Georgia",110.0,0.0,27.0,13,089,023209
"Census Tract 232.11, DeKalb County, Georgia",33.0,0.0,0.0,13,089,023211
"Census Tract 233.09, DeKalb County, Georgia",314.0,60.0,33.0,13,089,023309
"Census Tract 233.10, DeKalb County, Georgia",312.0,188.0,30.0,13,089,023310
"Census Tract 234.14, DeKalb County, Georgia",146.0,0.0,0.0,13,089,023414
"Census Tract 236.01, DeKalb County, Georgia",66.0,0.0,7.0,13,089,023601
"Census Tract 218.09, DeKalb County, Georgia",202.0,0.0,49.0,13,089,021809
"Census Tract 219.06, DeKalb County, Georgia",192.0,62.0,0.0,13,089,021906
"Census Tract 220.05, DeKalb County, Georgia",94.0,42.0,0.0,13,089,022005
"Census Tract 226, DeKalb County, Georgia",408.0,39.0,0.0,13,089,022600
"Census Tract 231.07, DeKalb County, Georgia",389.0,26.0,49.0,13,089,023107
"Census Tract 235.01, DeKalb County, Georgia",265.0,25.0,159.0,13,089,023501
"Census Tract 236.03, DeKalb County, Georgia",151.0,39.0,29.0,13,089,023603
"Census Tract 237, DeKalb County, Georgia",288.0,0.0,76.0,13,089,023700
"Census Tract 238.01, DeKalb County, Georgia",276.0,82.0,24.0,13,089,023801
"Census Tract 232.10, DeKalb County, Georgia",216.0,91.0,0.0,13,089,023210
"Census Tract 232.13, DeKalb County, Georgia",52.0,0.0,0.0,13,089,023213
"Census Tract 232.14, DeKalb County, Georgia",222.0,49.0,30.0,13,089,023214
"Census Tract 231.15, DeKalb County, Georgia",0.0,0.0,0.0,13,089,023115
"Census Tract 233.11, DeKalb County, Georgia",55.0,0.0,10.0,13,089,023311
"Census Tract 233.12, DeKalb County, Georgia",139.0,38.0,34.0,13,089,023312
"Census Tract 233.13, DeKalb County, Georgia",114.0,0.0,21.0,13,089,023313
"Census Tract 233.14, DeKalb County, Georgia",169.0,36.0,0.0,13,089,023314
"Census Tract 208.02, DeKalb County, Georgia",317.0,27.0,107.0,13,089,020802
"Census Tract 217.03, DeKalb County, Georgia",81.0,18.0,18.0,13,089,021703
"Census Tract 218.08, DeKalb County, Georgia",117.0,27.0,33.0,13,089,021808
"Census Tract 219.08, DeKalb County, Georgia",365.0,257.0,32.0,13,089,021908
"Census Tract 219.09, DeKalb County, Georgia",407.0,383.0,10.0,13,089,021909
"Census Tract 212.02, DeKalb County, Georgia",192.0,120.0,11.0,13,089,021202
"Census Tract 235.05, DeKalb County, Georgia",99.0,0.0,25.0,13,089,023505
"Census Tract 224.03, DeKalb County, Georgia",151.0,11.0,26.0,13,089,022403
"Census Tract 235.07, DeKalb County, Georgia",229.0,25.0,44.0,13,089,023507
"Census Tract 238.03, DeKalb County, Georgia",241.0,9.0,52.0,13,089,023803
"Census Tract 203, DeKalb County, Georgia",50.0,10.0,11.0,13,089,020300
"Census Tract 206, DeKalb County, Georgia",207.0,51.0,9.0,13,089,020600
"Census Tract 216.04, DeKalb County, Georgia",42.0,0.0,0.0,13,089,021604
"Census Tract 219.10, DeKalb County, Georgia",146.0,39.0,0.0,13,089,021910
"Census Tract 219.12, DeKalb County, Georgia",53.0,0.0,10.0,13,089,021912
"Census Tract 219.13, DeKalb County, Georgia",519.0,437.0,0.0,13,089,021913
"Census Tract 220.09, DeKalb County, Georgia",388.0,107.0,0.0,13,089,022009
"Census Tract 220.10, DeKalb County, Georgia",30.0,0.0,0.0,13,089,022010
"Census Tract 222.03, DeKalb County, Georgia",133.0,0.0,0.0,13,089,022203
