NAME,total_units,sfr_detached,sfr_attached,two_unit,small_multifamily,mf_5_9,mf_10_19,mf_20_49,mf_50plus,state,county,tract
"Census Tract 304.09, Cobb County, Georgia",1274.0,1250.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,13,067,030409
"Census Tract 304.10, Cobb County, Georgia",2289.0,939.0,145.0,0.0,26.0,52.0,559.0,236.0,332.0,13,067,030410
"Census Tract 304.11, Cobb County, Georgia",1052.0,76.0,301.0,21.0,27.0,103.0,268.0,218.0,38.0,13,067,030411
"Census Tract 304.12, Cobb County, Georgia",2112.0,61.0,171.0,20.0,95.0,416.0,608.0,608.0,133.0,13,067,030412
"Census Tract 304.13, Cobb County, Georgia",2778.0,110.0,408.0,0.0,197.0,660.0,874.0,410.0,76.0,13,067,030413
"Census Tract 304.14, Cobb County, Georgia",1581.0,0.0,58.0,6.0,114.0,298.0,557.0,478.0,70.0,13,067,030414
"Census Tract 305.06, Cobb County, Georgia",2012.0,1120.0,201.0,19.0,0.0,47.0,245.0,292.0,77.0,13,067,030506
"Census Tract 305.07, Cobb County, Georgia",1987.0,1892.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,13,067,030507
"Census Tract 306.01, Cobb County, Georgia",4653.0,853.0,976.0,31.0,26.0,255.0,980.0,1443.0,89.0,13,067,030601
"Census Tract 306.02, Cobb County, Georgia",3419.0,2037.0,409.0,70.0,0.0,15.0,82.0,231.0,564.0,13,067,030602
"Census Tract 311.13, Cobb County, Georgia",827.0,5.0,125.0,0.0,11.0,113.0,194.0,345.0,34.0,13,067,031113
"Census Tract 311.14, Cobb County, Georgia",4120.0,716.0,627.0,48.0,112.0,589.0,1153.0,717.0,158.0,13,067,031114
"Census Tract 301.04, Cobb County, Georgia",1684.0,1079.0,269.0,45.0,56.0,84.0,8.0,28.0,115.0,13,067,030104
"Census Tract 301.06, Cobb County, Georgia",2886.0,2069.0,105.0,46.0,53.0,74.0,317.0,119.0,103.0,13,067,030106
"Census Tract 301.07, Cobb County, Georgia",1788.0,1756.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,13,067,030107
"Census Tract 302.18, Cobb County, Georgia",1762.0,1729.0,20.0,0.0,5.0,0.0,0.0,0.0,0.0,13,067,030218
"Census Tract 302.19, Cobb County, Georgia",3371.0,3273.0,70.0,0.0,28.0,0.0,0.0,0.0,0.0,13,067,030219
"Census Tract 302.22, Cobb County, Georgia",2064.0,2053.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,13,067,030222
"Census Tract 302.23, Cobb County, Georgia",2545.0,1772.0,86.0,0.0,0.0,59.0,105.0,228.0,209.0,13,067,030223
"Census Tract 302.20, Cobb County, Georgia",607.0,595.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,13,067,030220
"Census Tract 302.24, Cobb County, Georgia",2526.0,2192.0,77.0,42.0,0.0,11.0,48.0,156.0,0.0,13,067,030224
"Census Tract 302.26, Cobb County, Georgia",4141.0,2481.0,639.0,108.0,135.0,90.0,359.0,255.0,74.0,13,067,030226
"Census Tract 302.27, Cobb County, Georgia",3414.0,2315.0,254.0,19.0,0.0,148.0,216.0,210.0,203.0,13,067,030227
"Census Tract 302.29, Cobb County, Georgia",1467.0,493.0,516.0,0.0,23.0,121.0,31.0,153.0,35.0,13,067,030229
"Census Tract 302.31, Cobb County, Georgia",3054.0,2925.0,115.0,0.0,14.0,0.0,0.0,0.0,0.0,13,067,030231
"Census Tract 311.15, Cobb County, Georgia",1926.0,1523.0,210.0,66.0,0.0,116.0,0.0,0.0,0.0,13,067,031115
