NAME,total_households,income_under_10k,income_30_35k,income_40_45k,income_75_100k,income_100_125k,income_200k_plus,state,county,tract
"Census Tract 212.15, DeKalb County, Georgia",2638.0,70.0,92.0,26.0,512.0,339.0,434.0,13,089,021215
"Census Tract 212.17, DeKalb County, Georgia",950.0,34.0,24.0,35.0,148.0,143.0,144.0,13,089,021217
"Census Tract 212.18, DeKalb County, Georgia",3450.0,150.0,127.0,190.0,574.0,238.0,152.0,13,089,021218
"Census Tract 213.05, DeKalb County, Georgia",1492.0,90.0,145.0,80.0,195.0,163.0,51.0,13,089,021305
"Census Tract 202, DeKalb County, Georgia",983.0,57.0,8.0,6.0,231.0,92.0,177.0,13,089,020200
"Census Tract 213.03, DeKalb County, Georgia",1695.0,78.0,151.0,64.0,146.0,160.0,5.0,13,089,021303
"Census Tract 214.05, DeKalb County, Georgia",2281.0,121.0,84.0,10.0,275.0,182.0,654.0,13,089,021405
"Census Tract 204, DeKalb County, Georgia",1245.0,50.0,21.0,23.0,166.0,123.0,310.0,13,089,020400
"Census Tract 208.01, DeKalb County, Georgia",1046.0,35.0,36.0,7.0,229.0,105.0,174.0,13,089,020801
"Census Tract 212.10, DeKalb County, Georgia",1987.0,48.0,0.0,0.0,136.0,119.0,748.0,13,089,021210
"Census Tract 212.11, DeKalb County, Georgia",2044.0,68.0,65.0,95.0,273.0,264.0,422.0,13,089,021211
"Census Tract 217.06, DeKalb County, Georgia",2325.0,113.0,39.0,51.0,427.0,112.0,384.0,13,089,021706
"Census Tract 230, DeKalb County, Georgia",973.0,32.0,18.0,18.0,122.0,108.0,180.0,13,089,023000
"Census Tract 218.12, DeKalb County, Georgia",858.0,54.0,56.0,3.0,86.0,98.0,101.0,13,089,021812
"Census Tract 219.07, DeKalb County, Georgia",3567.0,149.0,183.0,182.0,352.0,480.0,136.0,13,089,021907
"Census Tract 223.01, DeKalb County, Georgia",3075.0,349.0,73.0,36.0,348.0,362.0,272.0,13,089,022301
"Census Tract 231.01, DeKalb County, Georgia",1721.0,46.0,90.0,138.0,257.0,124.0,25.0,13,089,023101
"Census Tract 231.08, DeKalb County, Georgia",1843.0,235.0,227.0,32.0,204.0,79.0,8.0,13,089,023108
"Census Tract 218.10, DeKalb County, Georgia",2708.0,106.0,100.0,170.0,357.0,309.0,276.0,13,089,021810
"Census Tract 220.08, DeKalb County, Georgia",2271.0,250.0,174.0,16.0,107.0,48.0,27.0,13,089,022008
"Census Tract 229, DeKalb County, Georgia",1678.0,127.0,16.0,65.0,181.0,236.0,174.0,13,089,022900
"Census Tract 231.02, DeKalb County, Georgia",1539.0,143.0,131.0,83.0,84.0,109.0,87.0,13,089,023102
"Census Tract 234.10, DeKalb County, Georgia",1701.0,190.0,162.0,51.0,121.0,40.0,14.0,13,089,023410
"Census Tract 213.06, DeKalb County, Georgia",1941.0,115.0,97.0,98.0,344.0,56.0,20.0,13,089,021306
"Census Tract 213.07, DeKalb County, Georgia",1245.0,47.0,96.0,64.0,98.0,113.0,15.0,13,089,021307
"Census Tract 213.08, DeKalb County, Georgia",1523.0,34.0,59.0,65.0,198.0,120.0,50.0,13,089,021308
"Census Tract 214.09, DeKalb County, Georgia",1339.0,34.0,59.0,82.0,195.0,89.0,23.0,13,089,021409
"Census Tract 214.10, DeKalb County, Georgia",2062.0,62.0,100.0,230.0,272.0,220.0,73.0,13,089,021410
"Census Tract 214.11, DeKalb County, Georgia",1788.0,87.0,67.0,99.0,131.0,202.0,293.0,13,089,021411
"Census Tract 214.12, DeKalb County, Georgia",1405.0,17.0,10.0,19.0,156.0,196.0,505.0,13,089,021412
"Census Tract 214.13, DeKalb County, Georgia",1246.0,62.0,44.0,86.0,77.0,48.0,99.0,13,089,021413
"Census Tract 214.14, DeKalb County, Georgia",1646.0,108.0,116.0,59.0,118.0,75.0,108.0,13,089,021414
"Census Tract 214.15, DeKalb County, Georgia",1703.0,35.0,22.0,90.0,189.0,187.0,440.0,13,089,021415
"Census Tract 214.16, DeKalb County, Georgia",855.0,18.0,44.0,8.0,84.0,104.0,148.0,13,089,021416
"Census Tract 214.17, DeKalb County, Georgia",2151.0,69.0,119.0,111.0,322.0,106.0,52.0,13,089,021417
"Census Tract 216.05, DeKalb County, Georgia",2589.0,147.0,29.0,135.0,380.0,210.0,374.0,13,089,021605
"Census Tract 218.13, DeKalb County, Georgia",1180.0,50.0,78.0,123.0,97.0,37.0,0.0,13,089,021813
"Census Tract 218.14, DeKalb County, Georgia",2321.0,45.0,272.0,165.0,182.0,140.0,44.0,13,089,021814
