activity_year,lei,county_code,census_tract,loan_type,loan_purpose,action_taken,occupancy_type,loan_amount,loan_to_value_ratio,property_value,income,debt_to_income_ratio,total_units,purchaser_type,applicant_credit_score_type,interest_rate,ltv_derived,lti_derived,is_first_lien_purchase,is_investor_occupied,downpayment_pct
2019,5493009XSE00M8B9R434,13151,13151070108.0,2,1,1,1,105000.0,96.5,105000.0,60.0,20%-<30%,1,2,1,5.5,96.5,1.75,True,False,3.5
2019,549300SVKVT1EF3U0N48,13067,13067030230.0,1,1,1,1,335000.0,73.478,465000.0,193.0,30%-<36%,1,6,2,2.75,73.478,1.7357512953367875,True,False,26.522000000000006
2019,549300SVKVT1EF3U0N48,13121,13121010507.0,1,1,1,1,175000.0,103.435,175000.0,51.0,39,1,9,9,4.0,103.435,3.4313725490196076,True,False,-3.4350000000000023
2019,549300SVKVT1EF3U0N48,13121,13121011616.0,2,1,1,1,795000.0,85.0,935000.0,350.0,20%-<30%,1,6,3,4.125,85.0,2.2714285714285714,True,False,15.0
2019,549300SVKVT1EF3U0N48,13089,13089023418.0,2,1,1,1,195000.0,79.796,245000.0,127.0,20%-<30%,1,72,3,3.875,79.796,1.5354330708661417,True,False,20.203999999999994
2019,549300SVKVT1EF3U0N48,13151,13151070203.0,2,1,1,1,205000.0,80.0,255000.0,90.0,30%-<36%,1,72,1,3.875,80.0,2.2777777777777777,True,False,20.0
2019,549300SVKVT1EF3U0N48,13135,13135050214.0,2,1,1,1,285000.0,96.5,285000.0,77.0,39,1,72,9,4.25,96.5,3.7012987012987013,True,False,3.5
2019,549300SVKVT1EF3U0N48,13121,13121005800.0,2,1,1,1,385000.0,97.0,405000.0,263.0,20%-<30%,1,6,3,4.375,97.0,1.4638783269961977,True,False,3.0
2019,549300SVKVT1EF3U0N48,13121,13121011503.0,1,1,1,1,705000.0,80.0,885000.0,199.0,47,1,0,1,5.375,80.0,3.542713567839196,True,False,20.0
2019,549300SVKVT1EF3U0N48,13223,13223120103.0,1,1,1,1,445000.0,95.0,465000.0,120.0,36,1,6,9,4.625,95.0,3.7083333333333335,True,False,5.0
2019,549300SVKVT1EF3U0N48,13135,13135050718.0,1,1,1,1,465000.0,78.584,585000.0,209.0,30%-<36%,1,0,1,3.875,78.584,2.22488038277512,True,False,21.415999999999997
2019,549300SVKVT1EF3U0N48,13135,13135050103.0,2,1,1,1,475000.0,60.897,785000.0,350.0,41,1,6,1,4.5,60.897,1.3571428571428572,True,False,39.103
2019,549300SVKVT1EF3U0N48,13121,13121009101.0,1,1,1,1,325000.0,85.0,375000.0,86.0,30%-<36%,1,3,1,4.125,85.0,3.7790697674418605,True,False,15.0
2019,549300SVKVT1EF3U0N48,13135,13135050108.0,1,1,1,1,285000.0,57.755,495000.0,142.0,37,1,6,9,3.875,57.755,2.007042253521127,True,False,42.245
2019,549300SVKVT1EF3U0N48,13223,13223120103.0,2,1,1,1,345000.0,96.5,355000.0,104.0,43,1,0,3,3.5,96.5,3.3173076923076925,True,False,3.5
2019,549300SVKVT1EF3U0N48,13223,13223120102.0,2,1,1,2,135000.0,63.636,205000.0,88.0,43,1,6,1,3.25,63.636,1.5340909090909092,True,False,36.364
